,baseObject,fromUuid,memoryAddress,name,pInfo,pageNumber,pid,ppid,properties,sequence,source,startTimestampMicros,threadId,timestamp,timestampMicros,toUuid,type,url,uuid,version
70,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,1.40552985223e+14,,,0.0,,,,,,,,,,,,,2e+15,
71,,4e+15,,,,,,,{},,,,,0.0,,2e+15,EDGE_MEMORY_AFFECTS_EVENT,,,
72,,4e+15,,,,,,,{},,,,,0.0,,3e+15,EDGE_EVENT_AFFECTS_FILE,,,
73,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
74,,2e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
75,,,,execve,,,,,,41.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
76,,,,,"client.sh,1449,ffff880009dbce80",,1449.0,1448.0,,,SOURCE_LINUX_AUDIT_TRACE,-1.0,,,,,SUBJECT_PROCESS,,1e+15,
77,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
78,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
79,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
80,,,,execve,,,,,,43.0,SOURCE_LINUX_AUDIT_TRACE,,1452.0,,-1.0,,EVENT_ACCEPT,,4e+15,
81,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,,,,,,,,,,,,,,,,nc,3e+15,1.0
82,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
83,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
84,,,,write,,,,,,45.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
85,,,,,"nc,1449,ffff880009dbce80",,1449.0,1448.0,,,SOURCE_LINUX_AUDIT_TRACE,-1.0,,,,,SUBJECT_PROCESS,,1e+15,
86,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
87,,,,write,,,,,,47.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
88,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
89,,,,write,,,,,,49.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
90,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
91,,,,write,,,,,,51.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
92,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
93,,,,write,,,,,,53.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
94,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
95,,,,write,,,,,,55.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
96,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
97,,,,write,,,,,,57.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
98,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
99,,,,read,,,,,,59.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
100,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
101,,,,read,,,,,,61.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
102,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
103,,,,read,,,,,,63.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
104,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
105,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
106,,,,read,,,,,,65.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
107,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
108,,,,mmap(read),,,,,,67.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
109,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
110,,,,mmap(read/write),,,,,,69.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
111,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
112,,,,read,,,,,,71.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
113,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
114,,,,mmap(read),,,,,,73.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
115,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
116,,,,mmap(read/write),,,,,,75.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
117,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
118,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
119,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
120,,,,mmap(read/write),,,,,,77.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
121,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
122,,,,read,,,,,,79.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
123,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
124,,,,read,,,,,,81.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
125,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
126,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
127,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
128,,,,read,,,,,,83.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
129,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
130,,,,mmap(read),,,,,,85.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
131,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
132,,,,mmap(read/write),,,,,,87.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
133,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
134,,,,read,,,,,,89.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
135,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
136,,,,read,,,,,,91.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
137,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
138,,,,read,,,,,,93.0,SOURCE_LINUX_AUDIT_TRACE,,1449.0,,-1.0,,EVENT_ACCEPT,,4e+15,
139,,1e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_SUBJECT_AFFECTS_EVENT,,,
140,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
141,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
142,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,1.4020671957e+14,,,0.0,,,,,,,,,,,,,2e+15,
143,,4e+15,,,,,,,{},,,,,0.0,,2e+15,EDGE_MEMORY_AFFECTS_EVENT,,,
144,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
145,,2e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
146,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,,,,,,,,,,,,,,,,"""/lib/x86_64-linux-gnu/libbsd.so.0""",3e+15,1.0
147,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
148,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,,,,,,,,,,,,,,,,"""/lib/x86_64-linux-gnu/libbsd.so.0""",3e+15,1.0
149,,3e+15,,,,,,,{},,,,,0.0,,9e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
150,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
151,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
152,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
153,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,1.40206715253e+14,,,0.0,,,,,,,,,,,,,2e+15,
154,,4e+15,,,,,,,{},,,,,0.0,,2e+15,EDGE_MEMORY_AFFECTS_EVENT,,,
155,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
156,,2e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
157,,,,mmap(read),,,,,,95.0,SOURCE_LINUX_AUDIT_TRACE,,1452.0,,-1.0,,EVENT_ACCEPT,,4e+15,
158,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,,,,,,,,,,,,,,,,"""/lib/x86_64-linux-gnu/libbsd.so.0""",3e+15,1.0
159,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
160,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,,,,,,,,,,,,,,,,"""/lib/x86_64-linux-gnu/libbsd.so.0""",3e+15,1.0
161,,3e+15,,,,,,,{},,,,,0.0,,9e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
162,,,,read,,,,,,97.0,SOURCE_LINUX_AUDIT_TRACE,,1452.0,,-1.0,,EVENT_ACCEPT,,4e+15,
163,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
164,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
165,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,1.40206717399e+14,,,0.0,,,,,,,,,,,,,2e+15,
166,,4e+15,,,,,,,{},,,,,0.0,,2e+15,EDGE_MEMORY_AFFECTS_EVENT,,,
167,,4e+15,,,,,,,{},,,,,0.0,,3e+15,EDGE_EVENT_AFFECTS_FILE,,,
168,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
169,,2e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
170,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,,,,,,,,,,,,,,,,"""/lib/x86_64-linux-gnu/libresolv.so.2""",3e+15,1.0
171,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
172,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,,,,,,,,,,,,,,,,"""/lib/x86_64-linux-gnu/libresolv.so.2""",3e+15,1.0
173,,3e+15,,,,,,,{},,,,,0.0,,9e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
174,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
175,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
176,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
177,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,1.40206713045e+14,,,0.0,,,,,,,,,,,,,2e+15,
178,,4e+15,,,,,,,{},,,,,0.0,,2e+15,EDGE_MEMORY_AFFECTS_EVENT,,,
179,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
180,,2e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
181,,,,mmap(read),,,,,,99.0,SOURCE_LINUX_AUDIT_TRACE,,1452.0,,-1.0,,EVENT_ACCEPT,,4e+15,
182,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,,,,,,,,,,,,,,,,"""/lib/x86_64-linux-gnu/libresolv.so.2""",3e+15,1.0
183,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
184,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,,,,,,,,,,,,,,,,"""/lib/x86_64-linux-gnu/libresolv.so.2""",3e+15,1.0
185,,3e+15,,,,,,,{},,,,,0.0,,9e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
186,,,,read,,,,,,101.0,SOURCE_LINUX_AUDIT_TRACE,,1452.0,,-1.0,,EVENT_ACCEPT,,4e+15,
187,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
188,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
189,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,1.40206715236e+14,,,0.0,,,,,,,,,,,,,2e+15,
190,,4e+15,,,,,,,{},,,,,0.0,,2e+15,EDGE_MEMORY_AFFECTS_EVENT,,,
191,,4e+15,,,,,,,{},,,,,0.0,,3e+15,EDGE_EVENT_AFFECTS_FILE,,,
192,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
193,,2e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
194,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
195,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
196,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,1.40206709092e+14,,,0.0,,,,,,,,,,,,,2e+15,
197,,4e+15,,,,,,,{},,,,,0.0,,2e+15,EDGE_MEMORY_AFFECTS_EVENT,,,
198,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
199,,2e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
200,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,,,,,,,,,,,,,,,,"""/lib/x86_64-linux-gnu/libc.so.6""",3e+15,1.0
201,,,,mmap(read),,,,,,103.0,SOURCE_LINUX_AUDIT_TRACE,,1450.0,,-1.0,,EVENT_ACCEPT,,4e+15,
202,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
203,,,,mmap(read),,,,,,103.0,SOURCE_LINUX_AUDIT_TRACE,,1450.0,,-1.0,,EVENT_ACCEPT,,4e+15,
204,,3e+15,,,,,,,{},,,,,0.0,,9e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
205,,,,read,,,,,,105.0,SOURCE_LINUX_AUDIT_TRACE,,1450.0,,-1.0,,EVENT_ACCEPT,,4e+15,
206,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
207,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
208,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,1.40206713e+14,,,0.0,,,,,,,,,,,,,2e+15,
209,,4e+15,,,,,,,{},,,,,0.0,,2e+15,EDGE_MEMORY_AFFECTS_EVENT,,,
210,,4e+15,,,,,,,{},,,,,0.0,,3e+15,EDGE_EVENT_AFFECTS_FILE,,,
211,,4e+15,,,,,,,{},,,,,0.0,,1e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
212,,2e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
213,{u'source': u'SOURCE_LINUX_AUDIT_TRACE'},,,,,,,,,,,,,,,,,"""/etc/nsswitch.conf""",3e+15,1.0
214,,,,read,,,,,,107.0,SOURCE_LINUX_AUDIT_TRACE,,1452.0,,-1.0,,EVENT_ACCEPT,,4e+15,
215,,3e+15,,,,,,,{},,,,,0.0,,4e+15,EDGE_EVENT_AFFECTS_SUBJECT,,,
